date,new_cases,new_deaths,total_cases,total_deaths
2020-06-19,257,0,41473,26
2020-06-20,142,0,41615,26
2020-06-21,218,0,41833,26
2020-06-22,262,0,42095,26
2020-06-23,218,0,42313,26
2020-06-24,119,0,42432,26
2020-06-25,191,0,42623,26
2020-06-26,113,0,42736,26
2020-06-27,219,0,42955,26
2020-06-28,291,0,43246,26
2020-06-29,213,0,43459,26
2020-06-30,202,0,43661,26
2020-07-01,246,0,43907,26
2020-07-02,215,0,44122,26
2020-07-03,188,0,44310,26
2020-07-04,169,0,44479,26
2020-07-05,185,0,44664,26
2020-07-06,0,0,44664,26
2020-07-07,319,0,44983,26
2020-07-08,157,0,45140,26
2020-07-09,158,0,45298,26
2020-07-10,124,0,45422,26
2020-07-11,191,0,45613,26
2020-07-12,170,0,45783,26
2020-07-13,178,0,45961,26
2020-07-14,322,0,46283,26
2020-07-15,346,1,46629,27
2020-07-16,249,0,46878,27
2020-07-17,248,0,47126,27
2020-07-18,327,0,47453,27
2020-07-19,202,0,47655,27
2020-07-20,257,0,47912,27
2020-07-21,123,0,48035,27
2020-07-22,399,0,48434,27
2020-07-23,310,0,48744,27
2020-07-24,354,0,49098,27
2020-07-25,277,0,49375,27
2020-07-26,513,0,49888,27
2020-07-27,481,0,50369,27
2020-07-28,469,0,50838,27
2020-07-29,359,0,51197,27
2020-07-30,334,0,51531,27
2020-07-31,278,0,51809,27
2020-08-01,396,0,52205,27
2020-08-02,307,0,52512,27
2020-08-03,313,0,52825,27
2020-08-04,226,0,53051,27
2020-08-05,295,0,53346,27
2020-08-06,908,0,54254,27
2020-08-07,301,0,54555,27
2020-08-08,242,0,54797,27
2020-08-09,132,0,54929,27
2020-08-10,175,0,55104,27
2020-08-11,188,0,55292,27
2020-08-12,61,0,55353,27
2020-08-13,42,0,55395,27
2020-08-14,102,0,55497,27
2020-08-15,83,0,55580,27
2020-08-16,81,0,55661,27
2020-08-17,86,0,55747,27
2020-08-18,91,0,55838,27
2020-08-19,100,0,55938,27
2020-08-20,93,0,56031,27
2020-08-21,68,0,56099,27
2020-08-22,117,0,56216,27
2020-08-23,50,0,56266,27
2020-08-24,87,0,56353,27
2020-08-25,51,0,56404,27
2020-08-26,31,0,56435,27
2020-08-27,60,0,56495,27
2020-08-28,77,0,56572,27
2020-08-29,94,0,56666,27
2020-08-30,51,0,56717,27
2020-08-31,54,0,56771,27
2020-09-01,41,0,56812,27
2020-09-02,40,0,56852,27
2020-09-03,8,0,56860,27
2020-09-04,48,0,56908,27
2020-09-05,0,0,56908,27
2020-09-06,74,0,56982,27
2020-09-07,40,0,57022,27
2020-09-08,22,0,57044,27
2020-09-09,47,0,57091,27
2020-09-10,75,0,57166,27
2020-09-11,63,0,57229,27
2020-09-12,86,0,57315,27
2020-09-13,42,0,57357,27
2020-09-14,49,0,57406,27
2020-09-15,48,0,57454,27
2020-09-16,34,0,57488,27
2020-09-17,26,0,57514,27
2020-09-18,18,0,57532,27
2020-09-19,11,0,57543,27
2020-09-20,15,0,57558,27
2020-09-21,18,0,57576,27
2020-09-22,30,0,57606,27
2020-09-23,21,0,57627,27
2020-09-24,12,0,57639,27
2020-09-25,15,0,57654,27
2020-09-26,11,0,57665,27
2020-09-27,20,0,57685,27
2020-09-28,15,0,57700,27
2020-09-29,15,0,57715,27
2020-09-30,27,0,57742,27
2020-10-01,0,0,57742,27
2020-10-02,42,0,57784,27
2020-10-03,10,0,57794,27
2020-10-04,6,0,57800,27
2020-10-05,12,0,57812,27
2020-10-06,7,0,57819,27
2020-10-07,11,0,57830,27
2020-10-08,10,0,57840,27
2020-10-09,9,0,57849,27
2020-10-10,10,0,57859,27
2020-10-11,7,0,57866,27
2020-10-12,10,0,57876,27
2020-10-13,4,1,57880,28
2020-10-14,4,0,57884,28
2020-10-15,5,0,57889,28
2020-10-16,3,0,57892,28
2020-10-17,9,0,57901,28
2020-10-18,3,0,57904,28
2020-10-19,7,0,57911,28
2020-10-20,4,0,57915,28
2020-10-21,6,0,57921,28
2020-10-22,12,0,57933,28
2020-10-23,8,0,57941,28
2020-10-24,10,0,57951,28
2020-10-25,14,0,57965,28
2020-10-26,5,0,57970,28
2020-10-27,3,0,57973,28
2020-10-28,7,0,57980,28
2020-10-29,7,0,57987,28
2020-10-30,7,0,57994,28
2020-10-31,9,0,58003,28
2020-11-01,12,0,58015,28
2020-11-02,4,0,58019,28
2020-11-03,1,0,58020,28
2020-11-04,9,0,58029,28
2020-11-05,7,0,58036,28
